sentence,label
"Negative gearing may have seemed like a good idea when it was first introduced, but it has become little more than a massive rort. ",MajorClaim
The only reason we still have it after its problems have been pointed out so often is that politicians are under the thumb of the 20% who do most of the negative gearing and have the power to scream the loudest come election time. ,Claim
It has no place in a just and efficient economic system.  ,MajorClaim
The main reason why I agree that negative gearing should be abolished is that it is a major tax break which is largely only available to the wealthy (as unfortunately most tax breaks are). ,MajorClaim
I see no good reason why we should essentially subsidise the property speculations of the wealthy.,Claim
"The consideration that, by driving up housing prices, it makes buying a house that much more unaffordable for first home buyers also seems to be of some importance, as once again this seems to disadvantage those just starting our in life in favour of those with already established wealth.",Premise
I am however somewhat worried that simply abolishing negative gearing would cause significant economic upheaval and drive up rental prices.,Claim
" It seems to me that some sort of gradual 'phasing out' might be best, to give the housing market time to readjust to the new, undistorted, conditions",Premise
"While I personally find the sight unnapealing, and find the man to be similarly so, I think it is good a good thing for people in general, and public figures in particular to be concerned about their physical fitness. ",MajorClaim
It is one of the few things about Tony Abbott which actually do hime credit,Claim
"I agree that negative gearing can be abused, but I think abolishing it is a bad idea.",MajorClaim
One of the few reasons the non-wealthy can still afford to buy a home is because they can install a tenant to assist with the mortgage repayments. ,Claim
" This is especially true given the workforce is becoming less and less permanent - this offers more choice to employees, but not the stability needed to pay off a mortgage. ",Premise
Regular rent income may be crucial in this regard.,Claim
"Rather than abolishing negative gearing, why not means-test it?",MajorClaim
There's another compelling argument for a mining tax (i.e. against repealing it). ,MajorClaim
We need to somehow put the brakes on the endless destruction of this land and the environment by the mining industry.  ,Claim
I oppose repealing this because the tax will not affect the viability of the resources industry - regardless of what the bleeding heart mining billionaires say. ,MajorClaim
All that will be affected is their share of the spoils.,Claim
"Of course, if they all paid their fair share of income taxes like the rest of us it might change the picture a little - but not much.",Premise
"I don't like Tony Abbott's politics, but as far as I'm concerned politicians can wear what they like; I am more interested in their ideas and their arguments than in how they are dressed.",MajorClaim
"I find the implication that any of our political leaders get any kind of credibility just by wearing a suit to be much more disturbing than the (admittedly unpleasant, to me) sight of Tony Abbott wearing swimming trunks at the beach.",Claim
I also wonder what the alternatives really are.,Empty
"Should politicians not swim, and instead confine themselves to physical activity with more a 'dignified' costume? ",Empty
I think it should be abolished but very slowly and carefully.,MajorClaim
"While I agree that it should not exist, now that it is in place it is hard to just get rid of it. ",MajorClaim
I know many people who have investment properties and aren't riched but have used them as a way of saving for their retirement in a way that is more secure than the stock market for example. ,Claim
Changing negative gearing laws might result in a flurry of sales of property and an even bigger slump in the property market. ,Premise
Something would need to be done to smooth the transition for people who are already 'negatively geared'. ,Claim
We need to repeal the entire monetary system! Taxing Miners is useless!,MajorClaim
"Think about it, how else is it possible to implement the existing advanced technology, which could quickly be implemented globally, to give our planet a fighting chance at surviving.",Claim
The whole system is on the brink of collapse.,Empty
Why scramble after it is too late leaving war and epic disasters as the only scenario?,Empty
Let's drop the word tax which implies the divine right of kings to tax their subjects and think of contribution to the common wealth of a democracy.,Claim
As such mining companies need to contribute to the common wealth.,Premise
As much of the corporate sector is not locally owned the contribution expected is reasonable,Claim
The nation as a whole (ie everyone) should benefit to some degree from the minerals.,Claim
Likewise the mining companies that take a risk and make the initial investments are should be rewarded for that risk and investment. ,Claim
The mining tax is structured such that both can occur.,Premise
" It is inequitable that a few should earn more than they can ever need, more than their next three generations of heirs can ever need, from a national resource if the nation as a whole cannot too become wealthier as a whole.",MajorClaim
The minerals are a national resource.,Premise
Not everyone can be a miner or employed in mining. ,Premise
"I oppose the mining tax being repealed because even though it costs a lot of money to establish a mine, the profits generated are so enormous, that there is still plenty of money left to pay the tax, and therefore benefit everyone.",MajorClaim
My view centers on the notion of access and equity.,MajorClaim
"It's a Super Profits tax and as such, it's only fair that some of that extreme wealth be made available for the greater benefit of the society that contains the product.",Claim
In some sense it could be seen as a form of compelled philanthropy.,Premise
"Anything that adds to the value of existing houses privileges those who already own homes, and disadvantages those who do not.",MajorClaim
 If we were a society with little disparity in wealth this might not be a huge problem. ,Claim
As it is we rank very poorly indeed on housing affordability - a measure which (more or less) divides average house prices by average incomes to show how long it takes to own an average home on an average income,Claim
"So we need to make housing more affordable, not less.",Premise
"The ability to negatively gear existing houses makes those houses more valuable and therefore less affordable, and this ability should be abolished.",Premise
" Since so many Australians have so much of their wealth tied up in real estate, this abolition should take place gradually and with plenty of notice.",Premise
"Investment in new, rather than existing, properties should be treated differently.",Claim
"Here the ability to negatively gear probably drives investment, thereby increasing housing supply and driving down cost. ",Premise
The annual ratings by Denver based mining consultants Behre Dolbear rated Australia as the top nation to locate mining projects. ,Empty
 It is the third year in a row Australia was listed as the best for miners.,Empty
This fact shows that all the bluster and scaremongering by the Opposition appears to be falling on deaf ears when it comes to investment in the mining industry.,Claim
The MRRT is a just tax but should have gone further as I feel the Government squibbed in the face of the opposition by mining companies. ,MajorClaim
Any notion to repeal the mining tax by the Opposition is just a con job to get elected and would be foolish.,Claim
The Opposition wasted this resource in the best of times while in government by not placing a tax on minerals. ,Claim
 Imagine all the wonderful infrastructure and opportunities Australia could have today.,Empty
"That profits are ""too high to be considered fair"" is confusing - would it be more ""fair"" if miners were less efficient?",MajorClaim
